Sector,Growth,Productivity,Spillover,Export,Employment,AIReadiness,Risk
Nông-Lâm-Thủy sản,3.27,103.4,0.35,40.5,13.20,15,18
Công nghiệp chế biến và tạo sản phẩm,9.64,241.2,0.78,290.9,11.50,55,42
Xây dựng,7.45,168.8,0.42,2.5,4.80,20,25
Khai khoáng,-1.2,1290.5,0.30,8.2,0.30,30,55
Bán buôn - bán lẻ,7.10,145.3,0.55,5.5,7.80,48,38
Tài chính - Ngân hàng,7.36,1072.4,0.85,1.2,0.55,72,52
Logistics - Vận tải,9.93,321.4,0.72,3.1,1.95,42,35
CNTT - Truyền thông,7.85,713.8,0.92,178,0.62,88,28
Giáo dục - Đào tạo,6.42,205.7,0.65,0,2.15,38,22
Y tế,6.85,437.1,0.60,0,0.75,45,18
