Code,Project,Field,Cost,NPV,Year1-2,Year3-5
P1,"Trung tâm dữ liệu quốc gia Hòa Lạc",Hạ tầng,12000,21500,8500,3500
P2,"Trung tâm dữ liệu quốc gia phía Nam",Hạ tầng,11500,20800,7500,4000
P3,Hệ thống 5G phủ sóng toàn quốc,Hạ tầng,18000,32500,12000,6000
P4,"Hệ thống định danh điện tử VNeID 2.0",Chính phủ số,4500,9200,3500,1000
P5,Cổng dịch vụ công quốc gia v3,Chính phủ số,3200,6800,2500,700
P6,Y tế số quốc gia (hồ sơ sức khỏe),Y tế số,5800,11400,4000,1800
P7,Giáo dục số K-12 toàn quốc,Giáo dục,6500,12200,4500,2000
P8,"Trung tâm AI quốc gia + supercomputing",AI,15000,28500,9000,6000
P9,Sandbox tài chính số (fintech),Tài chính số,2500,5800,1800,700
P10,"Logistics thông minh + cảng biển số",Logistics,7200,13800,5000,2200
P11,Nông nghiệp số ĐBSCL,Nông nghiệp,4800,8500,3500,1300
P12,Đào tạo 50.000 kỹ sư AI/bán dẫn,Nhân lực,8500,16200,5500,3000
P13,"Khu CN bán dẫn Bắc Ninh - Bắc Giang",Bán dẫn,20000,35000,13000,7000
P14,An ninh mạng quốc gia (SOC),An ninh,3800,7500,2800,1000
P15,Open Data + dữ liệu mở quốc gia,Dữ liệu,1500,3800,1200,300
